strain	accession	clade
KF840537.1	KF840537.1	G2a
KF840538.1	KF840538.1	G2b
KF840539.1	KF840539.1	G2a
KF840540.1	KF840540.1	G2b
KF840541.1	KF840541.1	G2b
KF840542.1	KF840542.1	G2b
KF840543.1	KF840543.1	G2b
KF840544.1	KF840544.1	G2b
KF840545.1	KF840545.1	G2b
KF840546.1	KF840546.1	G2a
KF840547.1	KF840547.1	G2a
KF840548.1	KF840548.1	G2a
KF840549.1	KF840549.1	G2b
KF840550.1	KF840550.1	G2b
KF840551.1	KF840551.1	G2c
KF840552.1	KF840552.1	G2a
KF840553.1	KF840553.1	G2a
KF840554.1	KF840554.1	G2a
KF840555.1	KF840555.1	G2b
KF840556.1	KF840556.1	G2b
KF840561.1	KF840561.1	G2a
KF840562.1	KF840562.1	G2a
KJ020932.1	KJ020932.1	G2b
KJ196348.1	KJ196348.1	G2a
KJ526096.1	KJ526096.1	G2a
KJ646578.1	KJ646578.1	G2a
KJ646579.1	KJ646579.1	G2a
KJ646580.1	KJ646580.1	G2a
KJ646581.1	KJ646581.1	G2a
KJ646582.1	KJ646582.1	G2a
KJ646583.1	KJ646583.1	G2a
KJ646584.1	KJ646584.1	G2a
KJ646585.1	KJ646585.1	G2b
KJ646586.1	KJ646586.1	G2a
KJ646587.1	KJ646587.1	G2a
KJ646588.1	KJ646588.1	G2a
KJ646589.1	KJ646589.1	G2a
KJ646590.1	KJ646590.1	G2b
KJ646591.1	KJ646591.1	G2a
KJ777677.1	KJ777677.1	G2a
KJ777678.1	KJ777678.1	G2a
KM089829.1	KM089829.1	G2b
KM225239.1	KM225239.1	G2a
KM225240.1	KM225240.1	G2a
KM225241.1	KM225241.1	G2a
KM225242.1	KM225242.1	G2a
KM225243.1	KM225243.1	G2a
KM225244.1	KM225244.1	G2a
KM225245.1	KM225245.1	G2b
KM225247.1	KM225247.1	G2b
KM225248.1	KM225248.1	G2b
KM225249.1	KM225249.1	G2b
KM225250.1	KM225250.1	G2b
KM225251.1	KM225251.1	G2b
KM225252.1	KM225252.1	G2b
KM242131.1	KM242131.1	G2a
KM287429.1	KM287429.1	G2a
KM406179.1	KM406179.1	G2a
KM406180.1	KM406180.1	G2a
KM406181.1	KM406181.1	G2a
KM406182.1	KM406182.1	G2a
KM406183.1	KM406183.1	G2a
KM406184.1	KM406184.1	G2a
KM609203.1	KM609203.1	G2a
KM609204.1	KM609204.1	G2b
KM609206.1	KM609206.1	G2c
KM609207.1	KM609207.1	G2a
KM609208.1	KM609208.1	G2a
KM609209.1	KM609209.1	G2a
KM609210.1	KM609210.1	G2a
KM609211.1	KM609211.1	G2a
KM609212.1	KM609212.1	G2c
KM609213.1	KM609213.1	G2c
KM887144.1	KM887144.1	G1a
KP162057.1	KP162057.1	G1b
KP399601.1	KP399601.1	G2a
KP399602.1	KP399602.1	G2a
KP399603.1	KP399603.1	G2a
KP399604.1	KP399604.1	G2a
KP399605.1	KP399605.1	G2a
KP399606.1	KP399606.1	G2a
KP399607.1	KP399607.1	G2b
KP399608.1	KP399608.1	G2a
KP399609.1	KP399609.1	G2a
KP399610.1	KP399610.1	G2a
KP399611.1	KP399611.1	G2b
KP399612.1	KP399612.1	G2a
KP399613.1	KP399613.1	G2a
KP399614.1	KP399614.1	S-INDEL
KP399615.1	KP399615.1	S-INDEL
KP399616.1	KP399616.1	G2b
KP399617.1	KP399617.1	G2a
KP399618.1	KP399618.1	G2a
KP399619.1	KP399619.1	G2b
KP399620.1	KP399620.1	G2a
KP399621.1	KP399621.1	G2b
KP399622.1	KP399622.1	G2a
KP399623.1	KP399623.1	G2a
KP399624.1	KP399624.1	G2b
KP399625.1	KP399625.1	G2a
KP399626.1	KP399626.1	G2a
KP399627.1	KP399627.1	G2a
KP399628.1	KP399628.1	G2b
KP399629.1	KP399629.1	G2a
KP399630.1	KP399630.1	G2a
KP399631.1	KP399631.1	G2b
KP399633.1	KP399633.1	G2a
KP399634.1	KP399634.1	G2b
KP698751.1	KP698751.1	G2a
KP698752.2	KP698752.2	G2a
KP698753.1	KP698753.1	G2a
KP698754.2	KP698754.2	G2a
KP698755.2	KP698755.2	G2a
KP698756.2	KP698756.2	G2a
KP698757.1	KP698757.1	G2b
KP698758.1	KP698758.1	G2a
KP698759.1	KP698759.1	S-INDEL
KP698760.1	KP698760.1	S-INDEL
KP698761.2	KP698761.2	S-INDEL
KP698762.2	KP698762.2	G2b
KP698764.2	KP698764.2	G2a
KP698765.2	KP698765.2	G2a
KP698766.2	KP698766.2	G2a
KP698767.1	KP698767.1	G2b
KP698768.2	KP698768.2	G2a
KP698769.1	KP698769.1	S-INDEL
KP698770.1	KP698770.1	G2a
KP765609.1	KP765609.1	G2b
KP870114.1	KP870114.1	G2b
KP870115.1	KP870115.1	G2b
KP870116.1	KP870116.1	G2a
KP870118.1	KP870118.1	S-INDEL
KP870119.1	KP870119.1	G2b
KP870120.1	KP870120.1	S-INDEL
KP870123.1	KP870123.1	S-INDEL
KP870124.1	KP870124.1	G2a
KP870125.1	KP870125.1	S-INDEL
KP870126.1	KP870126.1	G2a
KP870129.1	KP870129.1	G2b
KP870130.1	KP870130.1	G2b
KP870131.1	KP870131.1	S-INDEL
KP870132.1	KP870132.1	S-INDEL
KP870133.1	KP870133.1	G2a
KP870134.1	KP870134.1	G2a
KP870135.1	KP870135.1	G2a
KP870137.1	KP870137.1	G2a
KP870139.1	KP870139.1	G2b
KP870141.1	KP870141.1	G2b
KP890336.1	KP890336.1	G2a
KR080551.1	KR080551.1	G2a
KR095279.1	KR095279.1	G2a
KR153326.1	KR153326.1	G2c
KR233256.1	KR233256.1	G2a
KR233257.1	KR233257.1	G2a
KR296663.1	KR296663.1	G2a
KR296664.1	KR296664.1	G2a
KR296665.1	KR296665.1	G2a
KR296667.1	KR296667.1	G2c
KR296668.1	KR296668.1	G2a
KR296670.1	KR296670.1	G2c
KR296671.1	KR296671.1	G2a
KR296672.1	KR296672.1	G2a
KR296673.1	KR296673.1	S-INDEL
KR296674.1	KR296674.1	G2a
KR296675.1	KR296675.1	G2a
KR296676.1	KR296676.1	G2a
KR296679.1	KR296679.1	G2a
KR296681.1	KR296681.1	G2a
KR296683.1	KR296683.1	G2c
KR514318.1	KR514318.1	G2a
KR514319.1	KR514319.1	G2a
KR514320.1	KR514320.1	G2a
KR514321.1	KR514321.1	G2a
KR514324.1	KR514324.1	G1b
KR732651.1	KR732651.1	G2b
KR732652.1	KR732652.1	G2b
KR809885.1	KR809885.1	G2c
KR818832.1	KR818832.1	G2b
KT021228.1	KT021228.1	G2b
KT021229.1	KT021229.1	G2b
KT021230.1	KT021230.1	G2b
KT021231.1	KT021231.1	G2b
KT021233.1	KT021233.1	G2b
KT199103.1	KT199103.1	G2c
KT266578.1	KT266578.1	G2a
KT313036.1	KT313036.1	G2a
KT313037.1	KT313037.1	G2a
KT313038.1	KT313038.1	G2a
KT313039.1	KT313039.1	G2a
KT323979.1	KT323979.1	G1b
KT323980.1	KT323980.1	G2a
KT388410.1	KT388410.1	G2c
KT388411.1	KT388411.1	G2a
KT388413.1	KT388413.1	G2c
KT388414.1	KT388414.1	S-INDEL
KT388415.1	KT388415.1	G2a
KT388416.1	KT388416.1	G2a
KT388417.1	KT388417.1	G2a
KT388418.1	KT388418.1	G2a
KT388419.1	KT388419.1	G2a
KT388421.1	KT388421.1	G2b
KT428878.1	KT428878.1	S-INDEL
KT428879.1	KT428879.1	G2c
KT948011.1	KT948011.1	G2a
KT989352.1	KT989352.1	G2a
KT989353.1	KT989353.1	G2a
KT989354.1	KT989354.1	G2b
KT989355.1	KT989355.1	G2a
KT989356.1	KT989356.1	G2c
KT989358.1	KT989358.1	G2a
KT989359.1	KT989359.1	G2a
KT989360.1	KT989360.1	G2a
KT989361.1	KT989361.1	G2a
KT989362.1	KT989362.1	G2c
KT989364.1	KT989364.1	G2a
KT989365.1	KT989365.1	G2a
KT989366.1	KT989366.1	G2a
KU133232.1	KU133232.1	G2a
KU133233.1	KU133233.1	G2a
KU133235.1	KU133235.1	G2a
KU133236.1	KU133236.1	G2c
KU133237.1	KU133237.1	G2a
KU133238.1	KU133238.1	G2c
KU133239.1	KU133239.1	G2a
KU133240.1	KU133240.1	G2a
KU133241.1	KU133241.1	G2a
KU133242.1	KU133242.1	G2a
KU133243.1	KU133243.1	G2b
KU133244.1	KU133244.1	G2a
KU133245.1	KU133245.1	G2a
KU133246.1	KU133246.1	G2a
KU133247.1	KU133247.1	G2c
KU133248.1	KU133248.1	G2c
KU133249.1	KU133249.1	G2a
KU133250.1	KU133250.1	G2c
KU133251.1	KU133251.1	G2c
KU133252.1	KU133252.1	G2b
KU133253.1	KU133253.1	G2a
KU133254.1	KU133254.1	G2b
KU133255.1	KU133255.1	G2b
KU133258.1	KU133258.1	S-INDEL
KU133259.1	KU133259.1	G2c
KU133260.1	KU133260.1	G2a
KU133261.1	KU133261.1	G2a
KU133263.1	KU133263.1	G2a
KU133264.1	KU133264.1	G2b
KU133265.1	KU133265.1	G2a
KU133266.1	KU133266.1	G2b
KU133267.1	KU133267.1	S-INDEL
KU133268.1	KU133268.1	G2a
KU133269.1	KU133269.1	G2c
KU237213.1	KU237213.1	G2a
KU237214.1	KU237214.1	G2a
KU237215.1	KU237215.1	G2a
KU237216.1	KU237216.1	G2a
KU237217.1	KU237217.1	G2c
KU237218.1	KU237218.1	G2a
KU237219.1	KU237219.1	G2c
KU237220.1	KU237220.1	G2c
KU237221.1	KU237221.1	G2a
KU237222.1	KU237222.1	G2c
KU237223.1	KU237223.1	G2c
KU237224.1	KU237224.1	G2c
KU237225.1	KU237225.1	G2c
KU237226.1	KU237226.1	G2c
KU237227.1	KU237227.1	G2c
KU237228.1	KU237228.1	G2a
KU237229.1	KU237229.1	G2c
KU237230.1	KU237230.1	G2c
KU237232.1	KU237232.1	G2a
KU237233.1	KU237233.1	G2c
KU237234.1	KU237234.1	G2a
KU252649.1	KU252649.1	G2c
KU380331.1	KU380331.1	G2b
KU556276.1	KU556276.1	G2c
KU556278.1	KU556278.1	G2c
KU556279.1	KU556279.1	G2c
KU556280.1	KU556280.1	G2c
KU556281.1	KU556281.1	G2c
KU556282.1	KU556282.1	G2a
KU556283.1	KU556283.1	G2a
KU556284.1	KU556284.1	G2a
KU556285.1	KU556285.1	G2a
KU556286.1	KU556286.1	G2c
KU556287.1	KU556287.1	G2c
KU558701.1	KU558701.1	G2a
KU646831.1	KU646831.1	G2b
KU664503.1	KU664503.1	G1a
KU847996.1	KU847996.1	S-INDEL
KU975389.1	KU975389.1	G2a
KU975403.1	KU975403.1	G2a
KU975404.1	KU975404.1	G2a
KU975405.1	KU975405.1	G2c
KU975406.1	KU975406.1	G2a
KU975409.1	KU975409.1	G2a
KU975410.1	KU975410.1	G2a
KU975411.1	KU975411.1	G2a
KU975412.1	KU975412.1	G2a
KU975413.1	KU975413.1	G2a
KU975414.1	KU975414.1	G2a
KU975415.1	KU975415.1	G2a
KU975416.1	KU975416.1	G2a
KU975418.1	KU975418.1	G2a
KU975419.1	KU975419.1	G2a
KU975422.1	KU975422.1	G2a
KU975423.1	KU975423.1	G2a
KU985230.1	KU985230.1	G2b
KX016034.1	KX016034.1	G2c
KX058031.1	KX058031.1	G2c
KX064280.1	KX064280.1	G2a
KX066126.1	KX066126.1	G2a
KX073607.1	KX073607.1	G2a
KX073608.1	KX073608.1	G2a
KX073609.1	KX073609.1	G2c
KX073610.1	KX073610.1	G2a
KX532180.1	KX532180.1	G2a
KX532181.1	KX532181.1	G2a
KX532182.1	KX532182.1	G2a
KX532183.1	KX532183.1	G2a
KX534206.1	KX534206.1	G1b
KX550281.1	KX550281.1	G2a
KX580953.1	KX580953.1	G2a
KX791060.1	KX791060.1	G2b
KX812523.1	KX812523.1	G2a
KX812524.1	KX812524.1	G2c
KX883635.1	KX883635.1	S-INDEL
KY007139.1	KY007139.1	G2a
KY007140.1	KY007140.1	G2a
KY070587.1	KY070587.1	G2a
KY075782.1	KY075782.1	G2a
KY075783.1	KY075783.1	G2b
KY075784.1	KY075784.1	G2a
KY075786.1	KY075786.1	G2b
KY075787.1	KY075787.1	G2a
KY075788.1	KY075788.1	G2a
KY075789.1	KY075789.1	G2a
KY075790.1	KY075790.1	G2b
KY381581.1	KY381581.1	S-INDEL
KY496313.1	KY496313.1	G2c
KY496315.1	KY496315.1	G2c
KY496316.1	KY496316.1	G2a
KY496317.1	KY496317.1	G2a
KY496318.1	KY496318.1	G2a
KY496319.1	KY496319.1	G2a
KY496320.1	KY496320.1	G2c
KY496321.1	KY496321.1	G2a
KY496322.1	KY496322.1	G2a
KY607767.1	KY607767.1	G2a
KY649107.1	KY649107.1	G2c
KY679906.1	KY679906.1	G2c
KY775035.1	KY775035.1	G2b
KY775036.1	KY775036.1	G2b
KY775037.1	KY775037.1	G2a
KY775038.1	KY775038.1	G2c
KY775039.1	KY775039.1	G2a
KY775040.1	KY775040.1	G2c
KY775041.1	KY775041.1	G2c
KY775042.1	KY775042.1	G2c
KY775043.1	KY775043.1	G2a
KY775044.1	KY775044.1	G2a
KY775045.1	KY775045.1	G2c
KY775046.1	KY775046.1	G2c
KY775047.1	KY775047.1	G2c
KY775048.1	KY775048.1	G2c
KY775050.1	KY775050.1	G2c
KY775051.1	KY775051.1	G2a
KY775053.1	KY775053.1	S-INDEL
KY793536.1	KY793536.1	G2c
KY928065.1	KY928065.1	G2c
MF038004.1	MF038004.1	G2a
MF038005.1	MF038005.1	G2a
MF038006.1	MF038006.1	G2a
MF038007.1	MF038007.1	G2a
MF038009.1	MF038009.1	G2a
MF038010.1	MF038010.1	G2a
MF038011.1	MF038011.1	G2a
MF038012.1	MF038012.1	G2a
MF038013.1	MF038013.1	G2a
MF038014.1	MF038014.1	G2a
MF038015.1	MF038015.1	G2a
MF038016.1	MF038016.1	G2a
MF152596.1	MF152596.1	G2c
MF152597.1	MF152597.1	G2c
MF152598.1	MF152598.1	G2a
MF152599.1	MF152599.1	G2c
MF152600.1	MF152600.1	G2a
MF152601.1	MF152601.1	G2a
MF152602.1	MF152602.1	G2c
MF152603.1	MF152603.1	G2c
MF152604.1	MF152604.1	G2c
MF152605.1	MF152605.1	G2a
MF346935.1	MF346935.1	G2c
MF375374.1	MF375374.1	G2c
MF462814.1	MF462814.1	G2a
MF782686.1	MF782686.1	G2a
MF782687.1	MF782687.1	G2a
MF807951.1	MF807951.1	G2c
MF807952.1	MF807952.1	G2a
MG020538.1	MG020538.1	G2c
MG020539.1	MG020539.1	G2c
MG020540.1	MG020540.1	G2a
MG020541.1	MG020541.1	G2c
MG020542.1	MG020542.1	G2c
MG020543.1	MG020543.1	G2c
MG020544.1	MG020544.1	G2a
MG020545.1	MG020545.1	G2c
MG020546.1	MG020546.1	G2c
MG020547.1	MG020547.1	G2c
MG020548.1	MG020548.1	G2a
MG020549.1	MG020549.1	G2a
MG020550.1	MG020550.1	G2a
MG020551.1	MG020551.1	G2c
MG020552.1	MG020552.1	G2c
MG020553.1	MG020553.1	G2c
MG020554.1	MG020554.1	G2a
MG020555.1	MG020555.1	G2a
MG132631.1	MG132631.1	G2a
MG132632.1	MG132632.1	G2a
MG132633.1	MG132633.1	G2a
MG132634.1	MG132634.1	G2a
MG132635.1	MG132635.1	G2a
MG132636.1	MG132636.1	G2a
MG132637.1	MG132637.1	G2b
MG132638.1	MG132638.1	G2b
MG132639.1	MG132639.1	G2b
MG198632.1	MG198632.1	G2b
MG198637.1	MG198637.1	G2c
MG198639.1	MG198639.1	G2a
MG198641.1	MG198641.1	S-INDEL
MG198642.1	MG198642.1	G2a
MG198643.1	MG198643.1	G2a
MG198644.1	MG198644.1	G2c
MG198645.1	MG198645.1	S-INDEL
MG198646.1	MG198646.1	G2c
MG198647.1	MG198647.1	G2a
MG198648.1	MG198648.1	G2a
MG198649.1	MG198649.1	G2a
MG198650.1	MG198650.1	G2c
MG198652.1	MG198652.1	G2c
MG198655.1	MG198655.1	S-INDEL
MG198657.1	MG198657.1	G2c
MG198658.1	MG198658.1	G2c
MG198660.1	MG198660.1	G2a
MG198661.1	MG198661.1	G2c
MG198662.1	MG198662.1	G2c
MG198663.1	MG198663.1	G2c
MG198664.1	MG198664.1	S-INDEL
MG198665.1	MG198665.1	S-INDEL
MG198666.1	MG198666.1	G2c
MG198667.1	MG198667.1	G2c
MG198668.1	MG198668.1	G2a
MG198669.1	MG198669.1	G2a
MG198670.1	MG198670.1	G2c
MG198671.1	MG198671.1	G2b
MG334002.1	MG334002.1	G2c
MG334003.1	MG334003.1	G2c
MG334004.1	MG334004.1	G2b
MG334006.1	MG334006.1	S-INDEL
MG334007.1	MG334007.1	G2c
MG334008.1	MG334008.1	G2c
MG334009.1	MG334009.1	G2c
MG334010.1	MG334010.1	G2c
MG546687.1	MG546687.1	G2a
MG546688.1	MG546688.1	G2c
MG546689.1	MG546689.1	G2a
MG546690.1	MG546690.1	G2c
MG706117.1	MG706117.1	G2a
MG706119.1	MG706119.1	G2a
MG706120.1	MG706120.1	G2a
MG706121.1	MG706121.1	G2a
MG706122.1	MG706122.1	S-INDEL
MG820029.1	MG820029.1	G1b
MG837011.1	MG837011.1	G2b
MG837012.1	MG837012.1	G2a
MH003891.1	MH003891.1	G2c
MH053412.1	MH053412.1	G2c
MH053413.1	MH053413.1	G2c
MH053414.1	MH053414.1	G2a
MH053415.1	MH053415.1	G2a
MH053416.1	MH053416.1	G2a
MH053417.1	MH053417.1	G2a
MH053418.1	MH053418.1	G2c
MH053419.1	MH053419.1	G2c
MH053420.1	MH053420.1	G2c
MH056658.1	MH056658.1	G2a
MH061336.1	MH061336.1	S-INDEL
MH061337.1	MH061337.1	G2c
MH061338.1	MH061338.1	S-INDEL
MH061339.1	MH061339.1	G2c
MH061340.1	MH061340.1	G2c
MH061341.1	MH061341.1	G2c
MH061342.1	MH061342.1	G2a
MH061343.1	MH061343.1	S-INDEL
MH107321.1	MH107321.1	G2a
MH107322.1	MH107322.1	G2a
MH117940.1	MH117940.1	G2a
MH244927.1	MH244927.1	G2a
MH581489.1	MH581489.1	G2c
MH593138.1	MH593138.1	S-INDEL
MH593139.1	MH593139.1	G2c
MH593140.1	MH593140.1	G2c
MH593142.1	MH593142.1	G2c
MH593143.1	MH593143.1	G2c
MH593144.1	MH593144.1	G2c
MH593145.1	MH593145.1	G2c
MH593146.1	MH593146.1	G2c
MH593147.1	MH593147.1	G2c
MH593148.1	MH593148.1	S-INDEL
MH593149.1	MH593149.1	G2c
MH593150.1	MH593150.1	G2c
MH593151.1	MH593151.1	G2c
MH593152.1	MH593152.1	S-INDEL
MH593153.1	MH593153.1	G2c
MH593891.1	MH593891.1	S-INDEL
MH593893.1	MH593893.1	G2c
MH593896.1	MH593896.1	S-INDEL
MH678638.1	MH678638.1	G2c
MH708243.1	MH708243.1	G2c
MH708895.1	MH708895.1	G2b
MH726362.1	MH726362.1	G2a
MH726363.1	MH726363.1	G2a
MH726364.1	MH726364.1	G2a
MH726365.1	MH726365.1	G2a
MH726366.1	MH726366.1	G2b
MH726367.1	MH726367.1	G2a
MH726368.1	MH726368.1	G2a
MH726369.1	MH726369.1	G2a
MH726370.1	MH726370.1	G2a
MH726371.1	MH726371.1	G2c
MH726372.1	MH726372.1	G2c
MH726373.1	MH726373.1	G2a
MH726374.1	MH726374.1	G2b
MH726375.1	MH726375.1	G2b
MH726376.1	MH726376.1	G2a
MH726377.1	MH726377.1	G2a
MH726378.1	MH726378.1	G2a
MH726379.1	MH726379.1	G2a
MH726380.1	MH726380.1	G2a
MH726381.1	MH726381.1	G2a
MH726382.1	MH726382.1	G2c
MH726383.1	MH726383.1	G2c
MH726384.1	MH726384.1	G2b
MH726385.1	MH726385.1	G2b
MH726386.1	MH726386.1	G2b
MH726387.1	MH726387.1	G2b
MH726388.1	MH726388.1	G2b
MH726389.1	MH726389.1	G2b
MH726390.1	MH726390.1	G2b
MH726391.1	MH726391.1	G2b
MH726392.1	MH726392.1	G2b
MH726393.1	MH726393.1	G2b
MH726394.1	MH726394.1	G2b
MH726395.1	MH726395.1	G2b
MH726396.1	MH726396.1	G2b
MH726397.1	MH726397.1	G2b
MH726398.1	MH726398.1	G2b
MH726399.1	MH726399.1	G2b
MH726400.1	MH726400.1	G2b
MH726401.1	MH726401.1	G2b
MH726402.1	MH726402.1	G2c
MH726403.1	MH726403.1	G2c
MH726404.1	MH726404.1	G2c
MH726405.1	MH726405.1	G2c
MH726406.1	MH726406.1	G2c
MH726407.1	MH726407.1	G2c
MH748550.1	MH748550.1	G2b
MH816969.1	MH816969.1	G2c
MH910099.1	MH910099.1	G2a
MH991825.1	MH991825.1	G2a
MH991826.1	MH991826.1	G2c
MH991827.1	MH991827.1	G2c
MH991828.1	MH991828.1	G2c
MH991829.1	MH991829.1	G2c
MH991830.1	MH991830.1	G2c
MH991831.1	MH991831.1	G2c
MH991832.1	MH991832.1	G2c
MH991833.1	MH991833.1	G2c
MH991834.1	MH991834.1	G2c
MH991835.1	MH991835.1	G2c
MH991836.1	MH991836.1	G2c
MH991837.1	MH991837.1	G2c
MH991838.1	MH991838.1	G2a
MH991839.1	MH991839.1	G2a
MH991840.1	MH991840.1	G2c
MH991841.1	MH991841.1	G2c
MH991842.1	MH991842.1	G2b
MH991843.1	MH991843.1	G2a
MH991844.1	MH991844.1	G2c
MH991845.1	MH991845.1	G2c
MH991846.1	MH991846.1	G2c
MH991848.1	MH991848.1	G2c
MH991849.1	MH991849.1	G2c
MH991850.1	MH991850.1	G2c
MH991851.1	MH991851.1	G2c
MH991852.1	MH991852.1	G2c
MH991853.1	MH991853.1	G2c
MH991854.1	MH991854.1	G2c
MH991856.1	MH991856.1	G2c
MH991857.1	MH991857.1	G2c
MH991858.1	MH991858.1	G2c
MH991859.1	MH991859.1	G2c
MH991860.1	MH991860.1	G2c
MH991861.1	MH991861.1	G2c
MH991862.1	MH991862.1	G2c
MH991863.1	MH991863.1	G2c
MH991864.1	MH991864.1	G2a
MH991865.1	MH991865.1	G2a
MH991866.1	MH991866.1	G2c
MH991867.1	MH991867.1	G2c
MH991868.1	MH991868.1	G2c
MK093253.1	MK093253.1	G2a
MK111633.1	MK111633.1	G2c
MK124712.1	MK124712.1	G2a
MK138353.1	MK138353.1	G2c
MK138516.1	MK138516.1	G2a
MK140811.1	MK140811.1	S-INDEL
MK140812.1	MK140812.1	S-INDEL
MK140813.1	MK140813.1	S-INDEL
MK140814.1	MK140814.1	G2c
MK250953.1	MK250953.1	G2c
